advertiser,campaign,device_type,frequency_buckets,users_in_bucket,impressions,total_cost,conversions,purchases,total_purchases,product_sales,total_product_sales,roas_totalproductsales,roas_productsales,conversion_rate_total_purchases,conversion_rate_purchases,conversion_rate_impressions_total_purchases,conversion_rate_impressions_purchases,clicks,time_window_start,time_window_end
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,Tablet,Freq 21 to 25,62,1411,3.66503,,,,,,,,,,,,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Adults,Phone,Freq 01 to 05,145661,302223,2213.16845,1789,1339,1789,16817.33,22118.57,9.99,7.6,1.23%,0.92%,0.59%,0.44%,393,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,1,41,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 01 to 05,98,188,,1,1,1,8.97,8.97,,,0.010204082,0.010204082,0.005319149,0.005319149,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Adults,TV,Freq 06 to 10,13,97,0.39499,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Consideration_DPVR,Phone,Freq 21 to 25,2071,47122,293.53057,29,9,29,60.92,227.86,0.78,0.21,1.40%,0.43%,0.06%,0.02%,135,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 01 to 05,2566,4088,,1,1,1,13.99,13.99,,,3.90E-04,3.90E-04,2.45E-04,2.45E-04,15,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Tablet,Freq 31 to 35,36,1186,2.22525,,,,,,,,,,,,7,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Consideration_DPVR,PC,Freq 06 to 10,800,5715,36.59272,17,9,17,97.11,135.46,3.7,2.65,2.13%,1.13%,0.30%,0.16%,5,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 31 to 35,1,35,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 26 to 30,1,26,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,Phone,Freq 11 to 15,3355,42572,159.7281,5,1,5,11.97,52.27,0.33,0.07,0.15%,0.03%,0.01%,0.00%,94,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Phone,Freq 06 to 10,5788,41584,271.00458,37,23,37,286.65,453.26,1.67,1.06,0.64%,0.40%,0.09%,0.06%,86,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,262,14550,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,Tablet,Freq 11 to 15,235,2988,9.12523,,,,,,,,,,,,5,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,23,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,13,99,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Kids,PC,Freq 11 to 15,5026,63772,210.94945,7,4,7,50.68,66.25,0.31,0.24,0.14%,0.08%,0.01%,0.01%,11,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Tablet,Freq 11 to 15,263,3331,10.7704,2,0,2,0,13.59,1.26,0,0.76%,0.00%,0.06%,0.00%,5,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Personal Care,Tablet,Freq 31 to 35,30,985,2.14507,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,188,1447,,1,1,1,13.46,13.46,,,0.005319149,0.005319149,6.91E-04,6.91E-04,2,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Unknown,Freq 31 to 35,3,98,0.37854,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Consideration_DPVR,Phone,Freq 06 to 10,3339,25089,83.74445,18,12,18,102.22,150.51,1.8,1.22,0.54%,0.36%,0.07%,0.05%,48,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,23,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,68,1208,,1,1,1,11.34,11.34,,,0.014705882,0.014705882,8.28E-04,8.28E-04,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,Tablet,Freq 31 to 35,69,2275,6.81637,,,,,,,,,,,,10,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,15,114,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 11 to 15,1,12,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Conversion_ROAS,Tablet,Freq 01 to 05,9722,20247,97.63593,36,20,36,202.87,323.23,3.31,2.08,0.37%,0.21%,0.18%,0.10%,24,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,100,6340,,1,0,1,0,7.99,,,0.01,0,1.58E-04,0,14,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Phone,Freq 01 to 05,557138,707852,4928.2182,942,443,942,6080.06,11838.98,2.4,1.23,0.17%,0.08%,0.13%,0.06%,715,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 31 to 35,1,32,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Consideration_DPVR,PC,Freq 01 to 05,16456,26406,116.20952,102,67,102,575.7,1231.66,10.6,4.95,0.62%,0.41%,0.39%,0.25%,12,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR_AV_DO NOT BILL,Tablet,Freq 01 to 05,4142,4504,15.9427,7,2,7,9.4,53.2,3.34,0.59,0.17%,0.05%,0.16%,0.04%,6,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Phone,Freq 26 to 30,669,18672,71.67905,5,0,5,0,85.13,1.19,0,0.75%,0.00%,0.03%,0.00%,26,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Tablet,Freq 35+,307,30340,59.54157,,,,,,,,,,,,77,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,PC,Freq 16 to 20,2013,35747,130.03243,27,12,27,141.66,342.65,2.64,1.09,1.34%,0.60%,0.08%,0.03%,13,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,50,2426,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 01 to 05,336,425,,1,0,1,0,17.92,,,0.00297619,0,0.002352941,0,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,336,7682,,1,0,1,0,26,,,0.00297619,0,1.30E-04,0,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 26 to 30,1,29,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,10,174,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,Tablet,Freq 21 to 25,270,6185,20.38646,,,,,,,,,,,,6,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Conversion_ROAS,TV,Freq 06 to 10,8,58,0.12026,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR,Tablet,Freq 01 to 05,39753,78123,227.21206,23,10,23,108.06,240.64,1.06,0.48,0.06%,0.03%,0.03%,0.01%,264,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,PC,Freq 16 to 20,2013,35884,190.89268,17,9,17,65.73,160.4,0.84,0.34,0.84%,0.45%,0.05%,0.03%,5,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,1479,26308,,2,0,2,0,10,,,0.001352265,0,7.60E-05,0,61,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Conversion_ROAS,Phone,Freq 16 to 20,1088,19342,56.93902,11,9,11,85.01,109.19,1.92,1.49,1.01%,0.83%,0.06%,0.05%,15,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,Phone,Freq 31 to 35,1201,39480,201.22424,6,3,6,14.05,31.59,0.16,0.07,0.50%,0.25%,0.02%,0.01%,49,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Phone,Freq 16 to 20,401,7082,30.83514,4,3,4,36.44,43.81,1.42,1.18,1.00%,0.75%,0.06%,0.04%,25,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,Phone,Freq 26 to 30,109,3030,8.94814,,,,,,,,,,,,9,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Personal Care,TV,Freq 06 to 10,4,29,0.15444,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 11 to 15,1,11,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Consideration_DPVR,Phone,Freq 16 to 20,584,10391,29.7123,7,4,7,30.15,122.72,4.13,1.01,1.20%,0.68%,0.07%,0.04%,17,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,Phone,Freq 35+,158,9002,62.27029,2,2,2,15.84,15.84,0.25,0.25,1.27%,1.27%,0.02%,0.02%,16,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Adults,PC,Freq 21 to 25,194,4428,8.12495,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,Unknown,Freq 01 to 05,50,84,0.3285,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 26 to 30,178,4935,,1,1,1,8.52,8.52,,,0.005617978,0.005617978,2.03E-04,2.03E-04,22,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,97,5514,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Conversion_ROAS,PC,Freq 31 to 35,640,21059,89.18956,5,3,5,30.89,99.7,1.12,0.35,0.78%,0.47%,0.02%,0.01%,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,Phone,Freq 31 to 35,1170,38387,256.98902,4,4,4,45.52,45.52,0.18,0.18,0.34%,0.34%,0.01%,0.01%,47,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,Phone,Freq 06 to 10,74345,557625,4666.82168,561,416,561,6089.31,9378.57,2.01,1.3,0.75%,0.56%,0.10%,0.07%,752,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-029_2021_Demobrand_1_Hum CRM Test_Conversion_ROAS,Phone,Freq 26 to 30,2,55,0.08941,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 21 to 25,1,21,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 06 to 10,4,29,,1,1,1,3.34,3.34,,,0.25,0.25,0.034482759,0.034482759,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 01 to 05,1,1,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Conversion_ROAS,Phone,Freq 01 to 05,99578,163979,954.487,1476,995,1476,9167.11,16070.83,16.84,9.6,1.48%,1.00%,0.90%,0.61%,198,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Kids,PC,Freq 01 to 05,111261,205518,858.9999,165,81,165,1076.02,2258.38,2.63,1.25,0.15%,0.07%,0.08%,0.04%,39,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,Phone,Freq 21 to 25,1002,22891,91.48095,15,5,15,59.74,125.03,1.37,0.65,1.50%,0.50%,0.07%,0.02%,22,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,291,5164,,2,1,2,13.98,24.87,,,0.006872852,0.003436426,3.87E-04,1.94E-04,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,1,17,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Personal Care,Phone,Freq 01 to 05,279962,362602,2563.15555,516,161,516,2827.32,6986.29,2.73,1.1,0.18%,0.06%,0.14%,0.04%,494,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,PC,Freq 01 to 05,486836,617082,4858.9916,1514,656,1514,7683.66,18422.16,3.79,1.58,0.31%,0.13%,0.25%,0.11%,110,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Conversion_ROAS,Tablet,Freq 01 to 05,3008,5770,15.61199,16,11,16,114.22,169.62,10.86,7.32,0.53%,0.37%,0.28%,0.19%,6,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type1_Consideration_DPVR,Phone,Freq 35+,2463,208575,780.90027,,,,,,,,,,,,1209,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,61,1078,,3,0,3,0,17.46,,,0.049180328,0,0.002782931,0,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Conversion_ROAS_Kids,Phone,Freq 01 to 05,147451,250943,1649.08582,598,404,598,5230.51,7610.08,4.61,3.17,0.41%,0.27%,0.24%,0.16%,284,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 01 to 05,1,2,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 35+,1,47,,,,,,,,,,,,,1,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Conversion_ROAS,Phone,Freq 21 to 25,964,21799,143.60696,7,1,7,5,54.92,0.38,0.03,0.73%,0.10%,0.03%,0.00%,25,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 31 to 35,99,3250,,2,2,2,13.98,13.98,,,0.02020202,0.02020202,6.15E-04,6.15E-04,14,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,PC,Freq 06 to 10,4693,33176,247.53614,60,17,60,113.5,480.62,1.94,0.46,1.28%,0.36%,0.18%,0.05%,9,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR_AV_DO NOT BILL,PC,Freq 01 to 05,1114009,1156135,3045.09208,500,161,500,1178.76,5741.65,1.89,0.39,0.04%,0.01%,0.04%,0.01%,149,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,Unknown,Freq 01 to 05,35,63,0.3037,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Consideration_DPVR,Phone,Freq 31 to 35,740,24343,130.00233,8,4,8,26.3,58.68,0.45,0.2,1.08%,0.54%,0.03%,0.02%,74,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Conversion_ROAS,PC,Freq 26 to 30,1226,34093,236.7923,10,7,10,89.39,143.56,0.61,0.38,0.82%,0.57%,0.03%,0.02%,10,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_2,Amazon_CPZ-AMZ-027_2021_Demobrand_1_Demobrand_2_Conversion_ROAS,PC,Freq 26 to 30,826,23039,79.29295,2,1,2,15.88,28.78,0.36,0.2,0.24%,0.12%,0.01%,0.00%,4,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type3_Consideration_DPVR_AV_DO NOT BILL,PC,Freq 26 to 30,11,303,2.01599,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type2_Consideration_DPVR,Tablet,Freq 01 to 05,9299,16407,62.42502,6,3,6,13.9,34.83,0.56,0.22,0.06%,0.03%,0.04%,0.02%,17,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_3,Amazon_CPZ-AMZ-027_2021_Demobrand_3_PCP_Consideration_DPVR,Tablet,Freq 11 to 15,232,2971,5.51743,,,,,,,,,,,,14,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_SnSS_Conversion_SnSS,TV,Freq 01 to 05,20,30,0.19787,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
,,,Freq 16 to 20,1,16,,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Product_Type4_Consideration_DPVR,Phone,Freq 21 to 25,6101,139434,606.24945,19,9,19,103.77,345.08,0.57,0.17,0.31%,0.15%,0.01%,0.01%,285,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Consideration_DPVR,Tablet,Freq 01 to 05,4985,9929,41.38174,18,6,18,39.61,140.59,3.4,0.96,0.36%,0.12%,0.18%,0.06%,43,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_1,Amazon_CPZ-AMZ-028_2021_Demobrand_1_Kids_Conversion_ROAS,Tablet,Freq 16 to 20,21,377,2.07334,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
Demobrand_4,Amazon_TMZ-AMZ-008_2021_Demobrand_4_OC/PC_Consideration_DPVR_Kids,Unknown,Freq 11 to 15,3,39,0.19543,,,,,,,,,,,,,2021-08-01T00:00:00.000Z,2021-08-15T00:00:00.000Z
